year,color,actor,eventType,description
1781,#74436C,Americas,0,"Battle of Yorktown, American victory, end of the war"
1781,#74436C,Americas,1,"Battle of Yorktown, American victory, end of the war"
1781,#74436C,Americas,4,"Battle of Yorktown, American victory, end of the war"
1781,#74436C,Americas,5,"Battle of Yorktown, American victory, end of the war"
1781,#8D2B1D,England,2,"Battle of Yorktown, American victory, end of the war"
1781,#8D2B1D,England,3,"Battle of Yorktown, American victory, end of the war"
1787,#74436C,Americas,0,Shay's Rebellion against the American government
1787,#74436C,Americas,5,Constitutional Convention
1789,#74436C,Americas,4,Federal Union
1789,#74436C,Americas,5,George Washington becomes President
1790,#74436C,Americas,0,War with Native Americans
1790,#74436C,Americas,0,"Harmar, who sought to eradicate Native American tribes in Ohio, defeated"
1791,#74436C,Americas,2,American defeat by Native Americans at St. Clair
1791,#74436C,Americas,1,Vermont admitted into the Union
1792,#74436C,Americas,1,Kentucky separated from Virginia and admitted into the Union
1794,#74436C,Americas,5,Jay's Treaty
1794,#8D2B1D,England,5,Jay's Treaty
1795,#74436C,Americas,5,Treaty with Barbary pirates
1797,#74436C,Americas,5,John Adams becomes President of the United States
1798,#458867,France,0,"Quasi-War, entirely naval"
1798,#74436C,Americas,0,"Quasi-War, entirely naval"
1799,#74436C,Americas,8,Washington dies
1799,#74436C,Americas,1,Tennessee admitted into the Union
1800,#74436C,Americas,5,Washington D.C. becomes home of federal government
1800,#458867,France,5,Treaty of Mortefontaine ends Quasi-War
1800,#74436C,Americas,5,Treaty of Mortefontaine ends Quasi-War
